Track Id,Track Name,Artist Name,Release Date,Peak Date,Spotify Popularity,Peak Rank,Posts,Views 2 Months Before Peak,Views 1 Month Before Peak,Views at Peak,Views 1 Month After Peak,Views 2 Months After Peak
17158836,Monkeys Spinning Monkeys,Kevin MacLeod,2014-12-30,2022-04-01,43.0,1,30600000,4441568.0,4612487.0,4900599.0,5155605.0,5393188.0
29425832,Oh No,Kreepa,2019-12-13,2023-02-15,48.0,1,19600000,36419115.0,36791474.0,37175198.0,37512994.0,37795313.0
30714512,Baila,Karl Wine,2020-07-31,2023-08-24,,1,15800000,2938159.0,2938159.0,2938159.0,2938159.0,2938159.0
24333981,Дикая львица,ALEX&RUS,2019-07-03,2023-09-11,47.0,2,18400000,44519632.0,44519632.0,45477346.0,46354759.0,47241769.0
69398679,とけいのうた,ののちゃん(村方乃々佳),2022-01-05,2023-05-26,30.0,2,18400000,246528.0,277201.0,306434.0,339685.0,362434.0
29249430,Savage (feat. Beyoncé) - Remix,Megan Thee Stallion,2020-04-29,2023-09-27,64.0,1,14600000,407357002.0,409644031.0,412014178.0,414127402.0,416060453.0
29644559,Bandook,Nirvair Pannu,2020-05-30,2023-01-07,60.0,6,12200000,18055013.0,18974016.0,19843570.0,20876475.0,21943383.0
31061637,Upside Down,JVKE,2020-08-18,2022-11-23,61.0,1,11500000,93866050.0,95559023.0,97174601.0,98777172.0,100415285.0
29745716,She Share Story,Shayne Orok,2020-06-02,2022-11-23,40.0,2,11700000,5462558.0,5568028.0,5462558.0,5462558.0,5462558.0
30789208,Se Acabó la Cuarentena,Jowell & Randy,2020-08-06,2023-01-04,58.0,6,11200000,61985928.0,62670738.0,63298456.0,64050429.0,64749653.0
83331455,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,2023-05-29,43.0,1,31200000,5681663.0,5892097.0,6070047.0,6230665.0,6378329.0
28637630,Steven Universe,L.Dre,2020-02-21,2023-01-04,57.0,7,10500000,41464143.0,42291589.0,43004373.0,43765083.0,44533433.0
14145576,Ginseng Strip 2002,Yung Lean,2013-08-16,2023-02-15,70.0,5,10400000,208924207.0,214247190.0,219482301.0,224311165.0,228474353.0
26951096,Say So,Doja Cat,2019-11-07,2023-09-22,78.0,1,10100000,1109256464.0,1114437303.0,1119828055.0,1129981319.0,1109256464.0
20497349,Can We Kiss Forever?,Kina,2018-08-31,2023-01-08,,4,10100000,518570945.0,525610963.0,532330958.0,539939446.0,546582461.0
16928605,Dream Girl,Ir Sais,2017-09-27,2022-11-26,60.0,1,9900000,114487047.0,115497721.0,116436295.0,117296115.0,118202643.0
29924495,How You Like That,BLACKPINK,2020-06-25,2023-02-15,78.0,6,9900000,715006797.0,726750427.0,739567802.0,752452360.0,767855603.0
13646389,Run Free,Deep Chills,2017-08-18,2022-12-03,61.0,1,9600000,60185354.0,61886038.0,63469737.0,65348082.0,66821106.0
67502648,Sunroof,Nicky Youre,2021-11-26,2022-12-03,1.0,2,9600000,312504533.0,361565757.0,397866783.0,435465104.0,470360984.0
34784021,Funny Song,Cavendish Music,2021-04-19,2023-09-11,46.0,5,11700000,3974420.0,4175660.0,4383525.0,4599282.0,3974420.0
28009698,OUT WEST (feat. Young Thug),JACKBOYS,2019-12-27,2022-12-03,76.0,3,8600000,547507692.0,554526219.0,561167397.0,568987767.0,576608368.0
24008840,Everybody make some Tik Tok,Bounce O’Clock,2019-05-22,2023-02-17,19.0,12,8500000,478477.0,478477.0,485300.0,489758.0,478477.0
23902934,Astronaut In The Ocean,Masked Wolf,2019-06-07,2022-11-26,,2,7800000,1007359502.0,1021515280.0,1035614996.0,1049190137.0,1062488390.0
52404165,STAY (with Justin Bieber),The Kid LAROI,2021-07-09,2022-10-16,83.0,11,7800000,2024490953.0,2092466934.0,2156310539.0,2215290703.0,2271288786.0
29619218,Kimi No Toriko,Rizky Ayuba,2020-05-03,2023-01-04,13.0,14,9000000,16919920.0,17328984.0,17728243.0,18143780.0,18608301.0
75979639,Aesthetic,Tollan Kim,2022-03-04,2023-12-15,52.0,1,15700000,3682885.0,3831679.0,3682885.0,4390682.0,4576446.0
80001990,L$d,Luclover,2022-04-22,2023-01-08,51.0,6,7600000,26776700.0,26776700.0,26776700.0,26776700.0,26776700.0
